ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,Total_Injection_VOL,BORE_OIL_VOL
24.0,43.40572,80.192,46.666,6185.0,5082.0
24.0,43.44772,79.948,46.423,0.0,5087.0
24.0,43.46068,79.4,45.892,2013.0,5060.0
24.0,43.45261,79.035,45.526,8250.0,5032.0
22.67,38.5365,81.689,49.276,6594.0,4332.0
24.0,43.71837,78.75,45.261,9000.0,5088.0
24.0,43.74744,78.834,45.331,8965.0,5102.0
24.0,43.83344,79.166,45.624,8976.0,5103.0
24.0,43.81087,79.36,45.863,8977.0,5135.0
24.0,42.87523,79.475,45.958,8989.0,5141.0
23.5,40.89223,81.984,49.029,7477.0,4722.0
24.0,42.8308,80.459,47.017,8928.0,5038.0
24.0,42.81797,79.815,46.301,8981.0,5147.0
24.0,43.44097,80.054,46.553,9014.0,5115.0
24.0,42.54713,80.106,46.61,9009.0,5124.0
24.0,43.48804,80.39,46.897,8433.0,5135.0
15.83,42.24035,81.195,47.743,6216.0,4233.0
24.0,43.45684,80.422,46.832,8911.0,5126.0
24.0,43.49251,80.495,46.83,2520.0,5076.0
24.0,43.49195,80.21,47.174,8250.0,5121.0
24.0,39.40927,85.724,52.963,9011.0,4372.0
22.67,36.96231,87.226,54.522,7488.0,3981.0
24.0,43.20357,81.132,48.12,9129.0,5115.0
24.0,42.98895,81.397,48.398,8523.0,5084.0
24.0,42.97349,81.315,48.295,8102.0,5081.0
24.0,42.97301,81.278,48.248,9168.0,5086.0
24.0,42.98479,81.353,48.319,8830.0,5088.0
24.0,43.00275,81.501,48.468,9259.0,5095.0
24.0,42.97861,81.671,48.648,9259.0,5096.0
24.0,42.94835,81.571,48.531,9250.0,5094.0
21.35,42.96093,81.684,48.647,3575.0,4622.0
13.17,40.25518,84.282,51.081,1096.0,2856.0
6.31,32.11065,100.155,68.707,295.0,687.0
24.0,47.85813,87.266,54.693,0.0,4169.0
23.25,44.35988,88.715,56.384,0.0,3819.0
24.0,48.69365,83.965,51.32,2275.0,4305.0
24.0,44.46811,89.772,57.626,9000.0,3527.0
24.0,42.87977,91.623,59.569,9065.0,3342.0
24.0,42.0441,92.674,60.734,9047.0,3216.0
24.0,41.69155,93.172,61.224,9180.0,3176.0
24.0,41.65428,93.175,61.259,9048.0,3186.0
24.0,41.6589,93.227,61.325,9155.0,3183.0
24.0,41.65539,93.245,61.335,9135.0,3167.0
24.0,41.66181,93.323,61.426,8498.0,3149.0
24.0,41.66942,93.299,61.019,9204.0,3149.0
24.0,41.69731,93.466,60.962,9177.0,3163.0
24.0,41.6702,93.575,61.046,9056.0,3145.0
24.0,41.64633,93.6,61.052,9255.0,3177.0
24.0,41.63665,93.554,60.996,9274.0,3143.0
